metric,finetune_base,value,plage,inference_base
smad,base3,0.01527712694866932,5.25,UD
outl,base3,0.9629629272976693,5.25,UD
bias,base3,-0.6474215764799132,5.75,UD
smad,base3,0.011439134624796305,5.75,UD
outl,base3,0.9999997500000625,5.75,UD
bias,base1,0.1392356113567073,0.25,D
smad,base1,0.04307990824634454,0.25,D
outl,base1,0.3255300351919037,0.25,D
bias,base1,0.01236944052555869,0.75,D
smad,base1,0.026005600035954528,0.75,D
outl,base1,0.16289714589044235,0.75,D
bias,base1,0.010749509500335855,1.25,D
smad,base1,0.03172717545832845,1.25,D
outl,base1,0.21702838051361803,1.25,D
bias,base1,-0.017244575478098514,1.75,D
smad,base1,0.04424747272034247,1.75,D
outl,base1,0.31234567862673374,1.75,D
bias,base1,-0.0927619087500558,2.25,D
smad,base1,0.07430867766110529,2.25,D
outl,base1,0.4589041085413148,2.25,D
bias,base1,-0.12919714357979215,2.75,D
smad,base1,0.06607720383387831,2.75,D
outl,base1,0.5230263140689924,2.75,D
bias,base1,-0.06817752063695913,3.25,D
smad,base1,0.045306532153356054,3.25,D
outl,base1,0.3382352916306229,3.25,D
bias,base1,-0.16034709313157552,3.75,D
smad,base1,0.059610402210916964,3.75,D
outl,base1,0.7241379060642101,3.75,D
bias,base1,-0.3000830283333224,4.25,D
smad,base1,0.29928261862738037,4.25,D
outl,base1,0.615384568047341,4.25,D
bias,base1,-0.2555679226122501,4.75,D
smad,base1,0.10400659113448657,4.75,D
outl,base1,0.49999991666668053,4.75,D
bias,base1,-0.7239832180021221,5.25,D
smad,base1,0.0,5.25,D
outl,base1,0.9999990000010001,5.25,D
bias,base1,,5.75,D
smad,base1,,5.75,D
outl,base1,0.0,5.75,D
bias,base2,0.1345944535922554,0.25,D
smad,base2,0.03136108705283161,0.25,D
outl,base2,0.253975264905488,0.25,D
bias,base2,0.006168133191089361,0.75,D
smad,base2,0.02336906985596237,0.75,D
outl,base2,0.13920301557910528,0.75,D
bias,base2,0.018322921265161735,1.25,D
smad,base2,0.027403566488634287,1.25,D
outl,base2,0.2008903727318362,1.25,D
bias,base2,-0.0014777528354668473,1.75,D
smad,base2,0.03502806412591466,1.75,D
outl,base2,0.2827160490336839,1.75,D
bias,base2,-0.06773483308176412,2.25,D
smad,base2,0.05986000766041441,2.25,D
outl,base2,0.4246575332770376,2.25,D
