metric,finetune_base,value,plage,inference_base
smad,base2,0.026762818285570148,5.75,UD
outl,base2,0.9999997500000625,5.75,UD
bias,base3,0.10633118335975197,0.25,UD
smad,base3,0.022601559521332307,0.25,UD
outl,base3,0.17851025900316297,0.25,UD
bias,base3,0.00597232884384879,0.75,UD
smad,base3,0.014614602522754181,0.75,UD
outl,base3,0.05949835840155191,0.75,UD
bias,base3,0.0032558785409735245,1.25,UD
smad,base3,0.019507758798606094,1.25,UD
outl,base3,0.08439833765320756,1.25,UD
bias,base3,-0.008300739720077657,1.75,UD
smad,base3,0.026803574221154616,1.75,UD
outl,base3,0.182028491404966,1.75,UD
bias,base3,-0.019011033651787974,2.25,UD
smad,base3,0.036318714877701705,2.25,UD
outl,base3,0.21899552459283983,2.25,UD
bias,base3,-0.06522246541355804,2.75,UD
smad,base3,0.03461448016458917,2.75,UD
outl,base3,0.2310673340495612,2.75,UD
bias,base3,-0.05453029716338553,3.25,UD
smad,base3,0.029770001439787103,3.25,UD
outl,base3,0.19826388882004728,3.25,UD
bias,base3,-0.09093402592846343,3.75,UD
smad,base3,0.0506848988886442,3.75,UD
outl,base3,0.3888292154792382,3.75,UD
bias,base3,-0.11446146288584265,4.25,UD
smad,base3,0.049789493703186145,4.25,UD
outl,base3,0.3457943914461234,4.25,UD
bias,base3,-0.18584676107554401,4.75,UD
smad,base3,0.05871037970355545,4.75,UD
outl,base3,0.42331288083857127,4.75,UD
bias,base3,-0.4781556047011299,5.25,UD
smad,base3,0.04352195554053502,5.25,UD
outl,base3,0.8148147846364894,5.25,UD
bias,base3,-0.6913192708996635,5.75,UD
smad,base3,0.035888054799049475,5.75,UD
outl,base3,0.9999997500000625,5.75,UD
bias,base1,0.17587021945637407,0.25,D
smad,base1,0.07478061333957423,0.25,D
outl,base1,0.49425795031172354,0.25,D
bias,base1,0.012179494878046702,0.75,D
smad,base1,0.03499499546334625,0.75,D
outl,base1,0.22240172314959566,0.75,D
bias,base1,-0.0033062921351517303,1.25,D
smad,base1,0.047700497423409184,1.25,D
outl,base1,0.328881468932175,1.25,D
bias,base1,-0.07296906696499517,1.75,D
smad,base1,0.11092636372488171,1.75,D
outl,base1,0.6061728387578114,1.75,D
bias,base1,-0.12349267603870316,2.25,D
smad,base1,0.15389844507002992,2.25,D
outl,base1,0.7077625554617293,2.25,D
bias,base1,-0.17468228511842243,2.75,D
smad,base1,0.170440266980222,2.75,D
outl,base1,0.7203947344723858,2.75,D
bias,base1,-0.22596387370083124,3.25,D
smad,base1,0.15045423694744728,3.25,D
outl,base1,0.7279411711180797,3.25,D
bias,base1,-0.29445236926197255,3.75,D
smad,base1,0.3207368796666314,3.75,D
outl,base1,0.8620689357907263,3.75,D
bias,base1,-0.5269365692747379,4.25,D
smad,base1,0.11045209389532104,4.25,D
outl,base1,0.9230768520710114,4.25,D
bias,base1,-0.750981855796823,4.75,D
smad,base1,0.02105409620888208,4.75,D
outl,base1,0.9999998333333611,4.75,D
bias,base1,-0.8221225182680343,5.25,D
smad,base1,0.0,5.25,D
outl,base1,0.9999990000010001,5.25,D
bias,base1,,5.75,D
smad,base1,,5.75,D
outl,base1,0.0,5.75,D
bias,base2,0.16291275082876722,0.25,D
smad,base2,0.052668833099403685,0.25,D
outl,base2,0.41563604221924205,0.25,D
bias,base2,0.01131766232883354,0.75,D
smad,base2,0.02590099281942954,0.75,D
outl,base2,0.15051157777315252,0.75,D
bias,base2,-0.002809853482453795,1.25,D
smad,base2,0.036340502056432605,1.25,D
outl,base2,0.22481914289102994,1.25,D
bias,base2,-0.04013822959271922,1.75,D
smad,base2,0.06308805674342591,1.75,D
outl,base2,0.4320987648986435,1.75,D
bias,base2,-0.09389125258814966,2.25,D
smad,base2,0.08815804945402977,2.25,D
