metric,finetune_base,value,plage,inference_base
bias,base3,-0.0011814959036074997,1.25,D
smad,base3,0.021591937029033895,1.25,D
outl,base3,0.11630495263422094,1.25,D
bias,base3,-0.017364396672992246,1.75,D
smad,base3,0.03155271891339326,1.75,D
outl,base3,0.22839506144642585,1.75,D
bias,base3,-0.07352185680438664,2.25,D
smad,base3,0.059136814293287744,2.25,D
outl,base3,0.40867579815370825,2.25,D
bias,base3,-0.14707882515314902,2.75,D
smad,base3,0.0519235321084356,2.75,D
outl,base3,0.37171052509305746,2.75,D
bias,base3,-0.05292291736121057,3.25,D
smad,base3,0.03133736604513579,3.25,D
outl,base3,0.16911764581531144,3.25,D
bias,base3,-0.007892305037380035,3.75,D
smad,base3,0.03627320364565038,3.75,D
outl,base3,0.17241378715814526,3.75,D
bias,base3,-0.10813543973618514,4.25,D
smad,base3,0.030849100349893743,4.25,D
outl,base3,0.3076922840236705,4.25,D
bias,base3,-0.015381424499054233,4.75,D
smad,base3,0.03378179915115281,4.75,D
outl,base3,0.16666663888889352,4.75,D
bias,base3,-0.6959434179261472,5.25,D
smad,base3,0.0,5.25,D
outl,base3,0.9999990000010001,5.25,D
bias,base3,,5.75,D
smad,base3,,5.75,D
outl,base3,0.0,5.75,D
